
File                                                                                                                          Removed
doctors-in-training\education-pd\49-examination-leave.md                                                                      hours, rosters
doctors-in-training\education-pd\50-conference-seminar-leave.md                                                               preliminary
doctors-in-training\hours-of-work\33-hours-of-work.md                                                                         education, professional-development, employment, preliminary
doctors-in-training\hours-of-work\33A-24-7-rostering.md                                                                       shift-work
doctors-in-training\hours-of-work\34-training-time.md                                                                         rosters, education, professional-development, preliminary
doctors-in-training\hours-of-work\35-rosters.md                                                                               education, professional-development, employment
doctors-in-training\hours-of-work\36-overtime.md                                                                              rosters, preliminary
doctors-in-training\hours-of-work\37-penalty-payments.md                                                                      hours, overtime
doctors-in-training\hours-of-work\38-on-call.md                                                                               rosters, allowances
doctors-in-training\hours-of-work\39-recall-return-to-workplace.md                                                            rosters
doctors-in-training\hours-of-work\39A-recall-without-returning-to-workplace.md                                                rosters
doctors-in-training\hours-of-work\40-telephone-calls-to-doctors-outside-of-working-hours.md                                   hours, on-call, allowances
doctors-in-training\hours-of-work\41-workload-management-and-review.md                                                        overtime, rosters
doctors-in-training\leave\58-leave-not-applying-to-casuals.md                                                                 employment, preliminary
doctors-in-training\leave\59-replacement-of-doctors-when-on-leave.md                                                          leave, staffing, workload
doctors-in-training\leave\60-annual-leave.md                                                                                  public-holidays, employment
doctors-in-training\leave\61-personal-sick-carer-s-leave.md                                                                   preliminary
doctors-in-training\leave\62-fitness-for-work.md                                                                              ohs
doctors-in-training\leave\63-public-holidays.md                                                                               leave, preliminary
doctors-in-training\leave\64-compassionate-leave.md                                                                           preliminary
doctors-in-training\leave\65-prenatal-leave.md                                                                                leave, personal-leave, hours, shift-work
doctors-in-training\leave\66-pre-adoption-leave.md                                                                            preliminary
doctors-in-training\leave\67-parental-leave.md                                                                                wages, superannuation
doctors-in-training\leave\68-long-service-leave.md                                                                            employment, preliminary
doctors-in-training\leave\70-leave-to-engage-in-voluntary-emergency-management.md                                             preliminary
doctors-in-training\leave\70A-absences-on-defence-leave.md                                                                    leave, employment
doctors-in-training\leave\70B-special-disaster-leave.md                                                                       personal-leave, employment
doctors-in-training\leave\71-family-violence-leave.md                                                                         preliminary
doctors-in-training\preliminary\9-nature-of-relationship.md                                                                   employment
doctors-in-training\remuneration\42-remuneration-and-remuneration-increases.md                                                preliminary
doctors-in-training\remuneration\42A-employee-records.md                                                                      leave, wages, preliminary
doctors-in-training\remuneration\42B-daylight-saving.md                                                                       rosters, breaks
doctors-in-training\remuneration\43-superannuation.md                                                                         wages, preliminary
doctors-in-training\remuneration\44-salary-packaging.md                                                                       preliminary
doctors-in-training\remuneration\45-workers-compensation-make-up-pay.md                                                       wages, preliminary
doctors-in-training\remuneration\46-recovery-of-overpayments.md                                                               allowances, wages, preliminary
doctors-in-training\union-matters\77-best-practice-employment-commitment-committee.md                                         union-matters, preliminary, staffing, workload
doctors-in-training\union-matters\78-health-service-obligations.md                                                            preliminary
doctors-in-training\union-matters\79-signatories.md                                                                           union-matters
has-managers-admin\common-terms\allowances.md                                                                                 definitions
has-managers-admin\common-terms\classification-staffing.md                                                                    definitions
has-managers-admin\common-terms\consultation-disputes.md                                                                      definitions
has-managers-admin\common-terms\employment-types.md                                                                           employment, definitions
has-managers-admin\common-terms\hours-of-work.md                                                                              definitions
has-managers-admin\common-terms\leave.md                                                                                      definitions
has-managers-admin\common-terms\ohs.md                                                                                        definitions
has-managers-admin\common-terms\preliminary.md                                                                                definitions
has-managers-admin\common-terms\union-matters.md                                                                              definitions
has-managers-admin\common-terms\wages.md                                                                                      definitions
has-managers-admin\common-terms\allowances\37-lead-apron-allowance.md                                                         hours, shift-work, preliminary
has-managers-admin\common-terms\allowances\38-supported-wage-system-for-employees-with-a.md                                   preliminary
has-managers-admin\common-terms\allowances\39-meal-allowances.md                                                              hours, overtime, shift-work
has-managers-admin\common-terms\allowances\40-telephone-allowance.md                                                          hours, on-call
has-managers-admin\common-terms\allowances\41-travelling-allowance.md                                                         preliminary
has-managers-admin\common-terms\allowances\42-uniforms-and-protective-clothing.md                                             allowances
has-managers-admin\common-terms\allowances\43-childcare-reimbursement.md                                                      hours, overtime, on-call
has-managers-admin\common-terms\allowances\45-shiftwork.md                                                                    allowances, preliminary
