
File                                                                                                                          Removed
mspp\classification-salaries\45-medical-scientists-merit-reclassification-guidelines.md                                       preliminary
mspp\classification-salaries\46-medical-scientists-classification-descriptors.md                                              wages
mspp\classification-salaries\47-pharmacists.md                                                                                wages, classifications
mspp\classification-salaries\48-psychologists.md                                                                              wages, classifications
mspp\classification-salaries\49-progression-through-pay-points.md                                                             wages
mspp\classification-salaries\50-overlapping-pay-points-between-grades.md                                                      wages, classifications
mspp\classification-salaries\51-salaries-and-allowances.md                                                                    wages
mspp\classification-salaries\52-higher-duties.md                                                                              classifications, preliminary
mspp\classification-salaries\53-payment-of-wages.md                                                                           preliminary
mspp\classification-salaries\54-superannuation.md                                                                             wages
mspp\clinical-supervision\94-psychologist-supervisor-training.md                                                              classifications
mspp\clinical-supervision\95-clinical-supervision-of-psychologists.md                                                         employment, classifications
mspp\clinical-supervision\96-no-restraint-of-patients.md                                                                      ohs, classifications
mspp\clinical-supervision\97-amenities.md                                                                                     allowances, ohs, classifications
mspp\clinical-supervision\98-royal-commission-working-group.md                                                                discipline
mspp\disputes\11-disputes-settling-procedures.md                                                                              leave, parental-leave, union-matters
mspp\disputes\12-independent-dispute-resolution-panel.md                                                                      staffing, workload, classifications
mspp\disputes\13-best-practice-employment-commitment.md                                                                       union-matters
mspp\disputes\14-clause-intentionally-omitted.md                                                                              preliminary
mspp\disputes\16-disciplinary-procedure.md                                                                                    discipline, union-matters
mspp\employment\19-notification-of-classification.md                                                                          preliminary
mspp\employment\20-transition-to-retirement.md                                                                                flexible-work, preliminary
mspp\employment\21-request-to-reduce-ordinary-hours.md                                                                        employment
mspp\employment\22-individual-flexibility-arrangements.md                                                                     education, professional-development, leave, hours, wages
mspp\employment\23-full-time-employment.md                                                                                    preliminary
mspp\employment\24-part-time-employment.md                                                                                    hours, classifications
mspp\employment\25-casual-employment.md                                                                                       classifications
mspp\employment\26-fixed-term-employment.md                                                                                   preliminary
mspp\employment\27-flexible-working-arrangements.md                                                                           employment, preliminary
mspp\employment\28-transfer-of-business.md                                                                                    preliminary
mspp\employment\29-trainee-scientists.md                                                                                      employment
mspp\employment\30-consultation.md                                                                                            leave, parental-leave, union-matters
mspp\employment\30A-consultation-about-changes-to-rosters-or-hours-of-work.md                                                 union-matters
mspp\employment\31-notice-of-termination.md                                                                                   preliminary
mspp\employment\32-redundancy-and-associated-entitlements.md                                                                  wages
mspp\hours-of-work\55-hours-of-work.md                                                                                        shift-work, employment, classifications
mspp\hours-of-work\56-shift-work.md                                                                                           allowances
mspp\hours-of-work\57-employee-rosters.md                                                                                     on-call
mspp\hours-of-work\57A-10-hour-break-not-given.md                                                                             hours, breaks
mspp\hours-of-work\57B-10-hour-break-consultation-transitional.md                                                             hours, rosters, breaks
mspp\hours-of-work\58-meal-intervals-and-rest-intervals.md                                                                    shift-work, preliminary
mspp\hours-of-work\59-overtime.md                                                                                             ohs
mspp\hours-of-work\60-on-call-re-call.md                                                                                      leave, public-holidays
mspp\leave\61-annual-leave.md                                                                                                 preliminary
mspp\leave\62-excess-annual-leave.md                                                                                          hours, shift-work
mspp\leave\63-purchased-leave.md                                                                                              preliminary
mspp\leave\64-personal-carer-s-leave.md                                                                                       employment
mspp\leave\65-compassionate-leave.md                                                                                          preliminary, definitions
mspp\leave\67-long-service-leave.md                                                                                           annual-leave, employment
mspp\leave\68-pre-natal-leave.md                                                                                              leave, personal-leave, hours, shift-work
mspp\leave\69-breast-feeding-facilities.md                                                                                    hours, flexible-work
mspp\leave\70-parental-leave.md                                                                                               employment, preliminary
mspp\leave\71-examination-leave.md                                                                                            wages, classifications
mspp\leave\72-study-leave.md                                                                                                  employment
mspp\leave\73-professional-development-leave.md                                                                               leave
mspp\leave\74-additional-professional-registration-leave.md                                                                   professional-development, leave, employment, preliminary
mspp\leave\75-reimbursement-of-professional-development-leave.md                                                              leave, allowances
mspp\leave\76-sabbatical-leave.md                                                                                             wages
mspp\leave\77-blood-donors-leave.md                                                                                           preliminary
mspp\leave\78-twelve-month-career-breaks.md                                                                                   leave
mspp\leave\79-leave-to-engage-in-emergency-relief-activities.md                                                               preliminary
mspp\leave\80-public-holidays.md                                                                                              leave, preliminary
mspp\leave\83-special-disaster-leave.md                                                                                       personal-leave, employment
mspp\leave\84-absences-on-defence-leave.md                                                                                    leave, employment
mspp\operation\10-anti-discrimination.md                                                                                      flexible-work
mspp\operation\3-coverage-of-agreement.md                                                                                     union-matters, preliminary
mspp\operation\4-commencement-date-and-period-of-operation.md                                                                 leave, parental-leave, wages
mspp\operation\5-relationship-with-award-and-previous-certified.md                                                            disputes
mspp\operation\9-definitions.md                                                                                               classifications
mspp\schedules\1-employer-parties.md                                                                                          schedules
mspp\schedules\10-st-vincent-s-health-melbourne-ltd-general-conditions-agreeme.md                                             schedules
mspp\schedules\11-progression-of-medical-scientists-from-grade-1-to-grade-2-at.md                                             schedules
mspp\schedules\12-additional-consultation-and-redundancy-and-associated-entitl.md                                             schedules
mspp\schedules\13-pharmacist-weekend-ordinary-hours.md                                                                        schedules
mspp\schedules\14-professional-development-expenses-standard-claim-form.md                                                    schedules
mspp\schedules\15-rostering-protocols-exemption-agreement.md                                                                  schedules
mspp\schedules\16-shpa-ratios-pharmacist-staffing-levels.md                                                                   schedules, classifications
mspp\schedules\2-rates-of-pay-and-allowances.md                                                                               schedules
mspp\schedules\3-classification-descriptors-and-higher-qualification-allowanc.md                                              schedules, allowances, on-call
mspp\schedules\4-alfred-health-general-conditions.md                                                                          schedules
mspp\schedules\5-alfred-health-austin-health-royal-melbourne-hospital-clinica.md                                              schedules, classifications
mspp\schedules\6-eastern-health-turning-point-research-and-education-employee.md                                              schedules
mspp\schedules\7-maintenance-of-public-sector-employment.md                                                                   schedules, employment
mspp\schedules\8-royal-women-s-hospital-royal-children-s-hospital-general-emp.md                                              schedules
mspp\schedules\9-royal-children-s-hospital-clinical-perfusionists.md                                                          schedules
mspp\transport\86-travelling-transport-and-fares.md                                                                           allowances
mspp\transport\87-reimbursement-of-road-tolls.md                                                                              allowances
mspp\workforce-management\33-workload.md                                                                                      staffing
mspp\workforce-management\34-planned-and-unplanned-absences.md                                                                staffing, workload, classifications
mspp\workforce-management\35-advertising-and-filling-vacancies.md                                                             staffing
mspp\workforce-management\36-exposure-to-hazardous-substances.md                                                              preliminary
mspp\workforce-management\37-health-and-safety-rehabilitation-and-workcover.md                                                ohs
mspp\workforce-management\38-prevention-and-management-of-workplace-bullying.md                                               ohs
nurses-midwives\appendices.md                                                                                                 appendices
nurses-midwives\education-pd.md                                                                                               professional-development
nurses-midwives\employment-types.md                                                                                           employment
nurses-midwives\safe-patient-care.md                                                                                          ohs
nurses-midwives\allowances\30-allowances.md                                                                                   hours, shift-work
nurses-midwives\allowances\30A-lead-apron-allowance.md                                                                        hours, shift-work, breaks
nurses-midwives\allowances\31-qualification-allowance.md                                                                      preliminary, staffing
nurses-midwives\allowances\32-rural-and-isolated-practice-allowance.md                                                        leave, hours, overtime, wages, superannuation
nurses-midwives\allowances\32A-endorsed-midwife.md                                                                            preliminary, definitions, staffing
nurses-midwives\allowances\32B-sole-midwife-allowance.md                                                                      hours, shift-work, preliminary
nurses-midwives\allowances\33-allowances-related-to-overtime.md                                                               shift-work
nurses-midwives\allowances\34-shift-allowance.md                                                                              hours
nurses-midwives\allowances\35-higher-duties.md                                                                                hours, shift-work, preliminary
nurses-midwives\allowances\37-travelling-and-relocation.md                                                                    hours, shift-work, employment
nurses-midwives\allowances\39-childcare-reimbursement.md                                                                      hours, overtime
nurses-midwives\allowances\41-change-of-shift-allowance-preservation-ens-only.md                                              hours
nurses-midwives\allowances\41B-hyperbaric-allowance.md                                                                        leave, hours, shift-work, overtime
nurses-midwives\allowances\41C-four-clear-days-allowance.md                                                                   rosters, overtime
nurses-midwives\appendices\01-list-of-employers.md                                                                            appendices
nurses-midwives\appendices\02-wages-and-allowances.md                                                                         appendices, wages, on-call
nurses-midwives\appendices\03-information-required-for-letter-of-appointment.md                                               appendices
nurses-midwives\appendices\04-clinical-nurse-midwife-specialist-criteria.md                                                   appendices, classifications
nurses-midwives\appendices\05-indicative-position-description-for-after-hours-coordinator.md                                  appendices, classifications
nurses-midwives\appendices\06-template-certificate-of-service.md                                                              appendices
nurses-midwives\appendices\07-num-mum-matrix.md                                                                               appendices, staffing, classifications
nurses-midwives\appendices\08-campus-categories.md                                                                            appendices, classifications
nurses-midwives\appendices\09-health-service-categories.md                                                                    appendices, classifications
nurses-midwives\classification-staffing\84-translation-arrangements-for-registered-nurses-midwives.md                         preliminary
nurses-midwives\classification-staffing\85-ruson-rusom-classifications.md                                                     staffing
nurses-midwives\classification-staffing\85A-trainee-enrolled-nurse-classifications.md                                         preliminary
nurses-midwives\classification-staffing\86-skill-mix.md                                                                       staffing
nurses-midwives\classification-staffing\87-secure-employment-agency-staff-and-bank-employees.md                               leave, annual-leave, parental-leave, long-service-leave
nurses-midwives\classification-staffing\88-not-used.md                                                                        staffing
nurses-midwives\classification-staffing\89-deputy-director-of-nursing.md                                                      staffing
nurses-midwives\classification-staffing\90-staffing-anum-amum-and-above.md                                                    wages
nurses-midwives\classification-staffing\90A-senior-midwife-and-liaison-midwife.md                                             staffing
nurses-midwives\classification-staffing\91-aged-care.md                                                                       staffing
nurses-midwives\classification-staffing\92-demand-escalation-policy.md                                                        consultation, union-matters, staffing
nurses-midwives\classification-staffing\93-proposals-to-vary-specific-matters.md                                              hours, allowances
nurses-midwives\classification-staffing\94-trainee-enrolled-nurses.md                                                         staffing
nurses-midwives\classification-staffing\95-not-used.md                                                                        preliminary
nurses-midwives\classification-staffing\96-not-used.md                                                                        ohs
nurses-midwives\consultation-disputes\11-consultation.md                                                                      leave, parental-leave, union-matters
nurses-midwives\consultation-disputes\11B-no-amalgamation-of-wards-without-agreement-of-anmf-and.md                           consultation, disputes, staffing
nurses-midwives\consultation-disputes\12-redundancy-and-associated-entitlements.md                                            consultation, disputes
nurses-midwives\consultation-disputes\13-dispute-resolution-procedure.md                                                      leave, parental-leave, flexible-work
nurses-midwives\consultation-disputes\14-statewide-industry-panel.md                                                          disputes, discipline, classifications
nurses-midwives\consultation-disputes\15-managing-conduct-and-performance.md                                                  consultation, disputes, union-matters
nurses-midwives\consultation-disputes\16-flexible-working-arrangements.md                                                     preliminary
nurses-midwives\consultation-disputes\16A-individual-flexible-working-arrangements.md                                         leave, hours, overtime
nurses-midwives\consultation-disputes\16B-climate-change-mitigation-and-sustainability.md                                     preliminary
nurses-midwives\education-pd\75-professional-development-leave.md                                                             leave, staffing
nurses-midwives\education-pd\76-study-leave.md                                                                                preliminary
nurses-midwives\education-pd\77-examination-leave.md                                                                          preliminary
nurses-midwives\education-pd\78-staff-replacement.md                                                                          study-leave, education, professional-development
nurses-midwives\education-pd\79-post-registration-students.md                                                                 classifications, education
nurses-midwives\education-pd\79A-victorian-maternal-and-child-health-nurse-student.md                                         employment, termination, preliminary, definitions
nurses-midwives\employment-types\17-full-time-employment.md                                                                   hours, classifications
nurses-midwives\employment-types\18-part-time-employment.md                                                                   leave, hours, overtime, shift-work
nurses-midwives\employment-types\22A-employment-checks-applicable-from-24-june-2024.md                                        disputes, preliminary, definitions
nurses-midwives\employment-types\23-notice-period-before-termination.md                                                       leave, long-service-leave
nurses-midwives\employment-types\24-transition-to-retirement.md                                                               flexible-work
nurses-midwives\hours-of-work\42-hours-of-work.md                                                                             shift-work
nurses-midwives\hours-of-work\42A-permanent-night-shift.md                                                                    staffing
nurses-midwives\hours-of-work\43-accrued-days-off.md                                                                          staffing
nurses-midwives\hours-of-work\44-breaks.md                                                                                    leave, preliminary
nurses-midwives\hours-of-work\45A-portfolio-work-in-paid-time.md                                                              preliminary
nurses-midwives\hours-of-work\47-avoidance-and-management-of-short-shifts.md                                                  shift-work
nurses-midwives\hours-of-work\52-right-to-disconnect.md                                                                       leave
nurses-midwives\hours-of-work\53-rest-period-after-overtime-recall.md                                                         shift-work
nurses-midwives\hours-of-work\54-rest-period-after-excessive-hours.md                                                         preliminary
nurses-midwives\hours-of-work\55-daylight-saving.md                                                                           overtime, breaks
nurses-midwives\leave\56-public-holidays.md                                                                                   hours, preliminary
nurses-midwives\leave\57-annual-leave.md                                                                                      preliminary
nurses-midwives\leave\58-not-used.md                                                                                          preliminary
nurses-midwives\leave\61-personal-leave.md                                                                                    employment, preliminary
nurses-midwives\leave\62-casual-employment-caring-responsibilities.md                                                         preliminary
nurses-midwives\leave\63-fitness-for-work.md                                                                                  staffing
nurses-midwives\leave\63A-reasonable-adjustments-for-employees-with-a-disability.md                                           preliminary
nurses-midwives\leave\64-family-and-domestic-violence-leave.md                                                                preliminary, definitions
nurses-midwives\leave\65-compassionate-leave.md                                                                               preliminary, definitions
nurses-midwives\leave\66-pre-natal-leave-and-assisted-reproduction.md                                                         leave, personal-leave, hours, shift-work
nurses-midwives\leave\67-pre-adoption-leave.md                                                                                preliminary
nurses-midwives\leave\68-parental-leave.md                                                                                    wages, superannuation
nurses-midwives\leave\69-breastfeeding.md                                                                                     hours
nurses-midwives\leave\70-long-service-leave.md                                                                                preliminary
nurses-midwives\leave\72-absences-on-defence-leave.md                                                                         leave
nurses-midwives\leave\72A-leave-to-engage-in-voluntary-emergency-management.md                                                preliminary
nurses-midwives\leave\72B-special-disaster-leave.md                                                                           personal-leave
nurses-midwives\leave\73-cultural-and-ceremonial-leave.md                                                                     preliminary
nurses-midwives\leave\73A-gender-affirmation.md                                                                               leave
nurses-midwives\leave\74A-foster-and-kinship-care.md                                                                          preliminary
nurses-midwives\ohs\100-incident-reporting-investigation-and-prevention.md                                                    preliminary
nurses-midwives\ohs\101-designated-work-groups.md                                                                             consultation, union-matters, ohs
nurses-midwives\ohs\102-hsrs.md                                                                                               ohs
nurses-midwives\ohs\103-occupational-violence-and-aggression-prevention-and.md                                                preliminary
nurses-midwives\ohs\104-workers-compensation-rehabilitation-and-return-to-work.md                                             ohs
nurses-midwives\ohs\104A-prevention-of-gendered-violence-including-sexual.md                                                  ohs
nurses-midwives\ohs\99-ohs-risk-management.md                                                                                 consultation
nurses-midwives\preliminary\10-anti-discrimination.md                                                                         flexible-work
nurses-midwives\preliminary\10A-gender-based-discrimination.md                                                                preliminary
nurses-midwives\preliminary\4-definitions.md                                                                                  leave, hours
nurses-midwives\preliminary\6-incidence-and-application.md                                                                    preliminary
nurses-midwives\preliminary\7-date-and-period-of-operation.md                                                                 preliminary
nurses-midwives\preliminary\9-no-extra-claims.md                                                                              union-matters
nurses-midwives\safe-patient-care\105-interaction-with-the-safe-patient-care-act.md                                           staffing
nurses-midwives\safe-patient-care\106-undergraduate-employment-models.md                                                      preliminary, definitions, education, professional-development
nurses-midwives\safe-patient-care\107-midwifery-continuity-of-care-models.md                                                  preliminary, definitions, staffing
nurses-midwives\union-matters\81-not-used.md                                                                                  staffing
nurses-midwives\wages\25-salary.md                                                                                            preliminary
nurses-midwives\wages\26-payment-of-wages-employee-records-and-related-matters.md                                             preliminary
nurses-midwives\wages\27-superannuation.md                                                                                    wages, preliminary, definitions
nurses-midwives\wages\29-compensation-make-up-pay.md                                                                          wages, preliminary

